Filename,BT_easiness,Google WC,Inflected_Tokens,Derivational_Tokens,Tokens_w_Prefixes,Tokens_w_Affixes,Compounds,number_prefixes_per_cw,number_roots_per_cw,number_suffixes_per_cw,number_affixes_per_cw,num_morphemes_per_lemma,num_morphemes_per_cw,prefix_family_size_per_cw,root_family_size_per_cw,suffix_family_size_per_cw,affix_family_size_per_cw,perc_more_freq_words_morpho_family_prefix_per_cw,prefix_freq_per_cw,prefix_log_freq_per_cw,perc_more_freq_words_morpho_family_root,root_freq,root_log_freq,perc_more_freq_words_morpho_family_suffix_per_cw,suffix_freq_per_cw,suffix_log_freq_per_cw,perc_more_freq_words_morpho_family_affix_per_cw,affix_freq_per_cw,affix_log_freq_per_cw,prefix_in_hapax_per_cw,hapax_in_prefix_per_cw,suffix_in_hapax_per_cw,hapax_in_suffix_per_cw,affix_in_hapax_per_cw,hapax_in_affix_per_cw,prefix_len_per_cw,suffix_len_per_cw,affix_len_per_cw,mean_subset_inflectional_variety_10,inflectional_TTR_10,inflectional_MCI_10,mean_subset_derivational_variety_10,derivational_TTR_10,derivational_MCI_10
400.txt,-0.340259125,174,0.385542169,0.156626506,0,0.156626506,0.060240964,0,1.048192771,0.156626506,0.156626506,1.204819277,1.590361446,0,14.86746988,220.5301205,220.5301205,0,0,0,6.511746237,143650.3253,4.827449533,2.356089838,366040.8675,0.94077543,2.356089838,366040.8675,0.94077543,0,0,5.38E-06,0.002209363,5.38E-06,0.002209363,0,0.373493976,0.373493976,3.222222222,0.274074074,-0.530864198,1.333333333,0.75,0.037037037
401.txt,-0.315372342,164,0.216216216,0.216216216,0.067567568,0.175675676,0.013513514,0.067567568,0.932432432,0.202702703,0.27027027,1.202702703,1.418918919,17.60810811,10.39189189,388.8918919,406.5,0.365222132,21520.68919,0.366031729,10.46389796,258833.3919,4.4797121,4.325407775,730716.9324,1.306595748,4.690629908,752237.6216,1.672627477,4.25E-06,0.000175365,7.12E-06,0.003897687,1.14E-05,0.004073052,0.189189189,0.391891892,0.581081081,2.75,0.19375,-0.53125,2.5,1,-0.0625
402.txt,-0.580117966,162,0.253333333,0.16,0.066666667,0.093333333,0,0.066666667,0.866666667,0.093333333,0.16,1.026666667,1.28,8.04,11.08,226.56,234.6,0.196939391,38009.04,0.360208411,2.867731397,151009.8667,4.120854545,0.712212986,314260.0533,0.601754186,0.909152376,352269.0933,0.961962597,2.01E-06,8.86E-05,3.68E-06,0.002181369,5.69E-06,0.002269942,0.146666667,0.186666667,0.333333333,2.625,0.175,-0.296875,1.25,0.666666667,0.03125
403.txt,-1.785964977,159,0.267605634,0.014084507,0,0.014084507,0.014084507,0,0.943661972,0.014084507,0.014084507,0.957746479,1.225352113,0,9.112676056,4.549295775,4.549295775,0,0,0,1.899731724,138464.4789,4.245574835,0.061236987,13772.35211,0.08436995,0.061236987,13772.35211,0.08436995,0,0,1.01E-07,1.52E-05,1.01E-07,1.52E-05,0,0.056338028,0.056338028,2.625,0.1625,-0.546875,0.125,0.125,-0.859375
404.txt,-1.05401339,163,0.376470588,0.082352941,0.011764706,0.070588235,0.023529412,0.011764706,0.988235294,0.070588235,0.082352941,1.070588235,1.447058824,1.258823529,10,76.54117647,77.8,0,2529.576471,0.062734903,3.238708198,86277.45882,4.265316664,0.741742754,120285.2588,0.427720033,0.741742754,122814.8353,0.490454936,5.47E-07,1.82E-05,1.69E-06,0.000692469,2.24E-06,0.000710644,0.035294118,0.152941176,0.188235294,2.777777778,0.2,-0.135802469,0.777777778,0.555555556,-0.691358025
405.txt,0.247197446,147,0.030769231,0,0,0,0,0,0.938461538,0,0,0.938461538,0.969230769,0,15.15384615,0,0,0,0,0,0.153846154,131885.1231,4.542021801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.028571429,-0.530612245,0,0,-1
406.txt,-0.861808583,161,0.356164384,0.219178082,0.01369863,0.205479452,0,0.01369863,0.945205479,0.232876712,0.246575342,1.191780822,1.547945205,3.767123288,10.57534247,378.0136986,381.7808219,0.0149985,7663.438356,0.078736254,3.768754077,147927.3562,4.477679323,1.890484995,766234.6712,1.495064382,1.905483495,773898.1096,1.573800636,6.37E-07,5.50E-05,6.82E-06,0.003146897,7.45E-06,0.00320192,0.02739726,0.465753425,0.493150685,2.875,0.216666667,-0.390625,2,0.8125,0
407.txt,-1.759061403,171,0.231707317,0.219512195,0.024390244,0.219512195,0.024390244,0.024390244,0.951219512,0.219512195,0.243902439,1.195121951,1.426829268,12.53658537,13.34146341,232.2682927,244.804878,0.147317544,22765.78049,0.144937401,3.193036638,129339.3537,4.392181308,1.574859637,636885.939,1.367386075,1.722177181,659651.7195,1.512323475,7.04E-07,8.48E-05,4.97E-06,0.001776611,5.67E-06,0.00186139,0.048780488,0.524390244,0.573170732,2.222222222,0.122222222,-0.641975309,2.222222222,0.888888889,0.358024691
408.txt,-0.95232462,170,0.263157895,0.210526316,0.078947368,0.157894737,0,0.078947368,0.947368421,0.157894737,0.236842105,1.184210526,1.447368421,9.131578947,19.21052632,138.1447368,147.2763158,0.713026663,44679.80263,0.40912769,3.338997249,170452.4737,4.556199231,2.469149794,322498.0526,0.904541982,3.182176456,367177.8553,1.313669671,6.99E-07,8.54E-05,4.63E-06,0.001286721,5.33E-06,0.001372096,0.210526316,0.460526316,0.671052632,2.625,0.170833333,-0.296875,2.125,0.8125,0.390625
409.txt,-0.371640688,160,0.345679012,0.061728395,0.012345679,0.049382716,0.012345679,0.012345679,0.987654321,0.049382716,0.061728395,1.049382716,1.395061728,0.197530864,11.82716049,57.75308642,57.95061728,0.24691358,4003.123457,0.068035605,1.253675488,153786.9259,4.679988124,0.17055801,153938.1728,0.312545277,0.41747159,157941.2963,0.380580882,0,0,9.17E-07,0.000511145,9.17E-07,0.000511145,0.037037037,0.111111111,0.148148148,2.444444444,0.144444444,-0.395061728,0.555555556,0.444444444,-0.382716049
411.txt,-1.238432225,191,0.304878049,0.158536585,0.036585366,0.12195122,0.024390244,0.036585366,0.987804878,0.12195122,0.158536585,1.146341463,1.451219512,4.646341463,13.8902439,183.2560976,187.902439,0.335988054,8813.317073,0.192871316,4.438378801,118085.439,4.623328479,2.136425822,275587.6098,0.747880753,2.472413876,284400.9268,0.940752069,5.23E-06,6.97E-05,3.74E-06,0.001740815,8.97E-06,0.001810523,0.073170732,0.231707317,0.304878049,2.666666667,0.211111111,-0.259259259,1.333333333,0.851851852,-0.185185185
412.txt,-3.081337118,186,0.3125,0.3625,0.15,0.3,0.0375,0.1625,1,0.3125,0.475,1.475,1.7875,53.575,15.1125,382.8,436.375,2.195334265,156942.2,0.934339651,9.005642352,197868.45,4.719625106,2.991672598,821321.525,1.917956703,5.187006862,978263.725,2.852296354,5.14E-06,0.000502086,1.66E-05,0.003535841,2.18E-05,0.004037927,0.3375,0.825,1.1625,3.125,0.2125,-0.609375,4.625,0.979166667,0.828125
